fabricante,ano,categoria,couro,combustivel,km,cilindros,tipo_cambio,rodas,cor,airbags,numero_proprietarios,adesivos_personalizados,historico_troca_oleo,codigo_concessionaria,classificacao_veiculo,faixa_preco
TOYOTA,2014,Sedan,Sim,Hibrido,109798.0,4,Automatico,1,Branco,12,2,Não,0,1813,Usado,0.0
DODGE,2014,Picape,Sim,DIESEL,367053.0,6,Automatico,20,Branco,12,4,Não,3,2412,Usado,0.0
HYUNDAI,2018,Sedan,Sim,Gasolina,40122.0,4,Automatico,32,Cinza,12,2,Não,7,2159,Semi-novo,0.0
SSANGYONG,2010,Sedan,Sim,diesel,152937.0,4,Automatico,31,Red,4,2,Não,0,7546,Usado,0.0
CHEVROLET,2009,Sedan,Sim,Gasolina,67293.0,4,Automatico,25,Branco,4,5,Não,0,1589,Usado,0.0
HONDA,2017,Cupê,Sim,Gasol.,16639.0,4,Automatico,19,Red,4,4,Não,1,5292,Usado,2.0
HYUNDAI,2010,SUV,Sim,diesel,91393.0,4,Automatico,17,Prata,4,2,Não,1,5225,Usado,0.0
OPEL,1999,Universal,Nao,Gás Natural,21000.0,4,Manual,31,Preto,4,1,Sim,9,2440,Usado,0.0
HYUNDAI,2011,Hatchback,Nao,Gasolina,72000.0,4,Tiptronic,21,Laranja,12,4,Sim,3,1274,Usado,0.0
JEEP,2012,SUV,Sim,GASOLINA,65731.0,4,Automatico,15,Red,4,5,Sim,3,7168,Usado,1.0
HYUNDAI,2013,Sedan,Nao,Gasolina,100800.0,4,Automatico,5,Preto,8,1,Sim,7,8329,Usado,0.0
TOYOTA,2014,Sedan,Sim,gasolina,0.0,6,Automatico,26,Prata,12,4,Sim,10,5353,Usado,0.0
MERCEDES-BENZ,1998,Sedan,Sim,Gás Natural,200000.0,4,Automatico,5,Verde,4,2,Sim,3,7061,Usado,0.0
TOYOTA,2010,Hatchback,Sim,Hibrido,197000.0,4,Automatico,30,Azul,6,4,Sim,6,6218,Usado,0.0
TOYOTA,2012,Hatchback,Nao,Hibrido,161000.0,4,Automatico,20,Azul,2,4,Sim,4,8424,Usado,0.0
TOYOTA,2008,Hatchback,Nao,Hibrido,182000.0,2,Automatico,22,Marrom,6,3,Não,3,1579,Usado,0.0
NISSAN,2013,SUV,Sim,gasolina,153888.0,4,Automatico,21,Branco,0,2,Não,9,2020,Usado,0.0
NISSAN,2005,SUV,Sim,GASOLINA,118498.0,6,Automatico,9,Preto,6,2,Sim,3,5344,Usado,0.0
TOYOTA,2008,SUV,Sim,Hibrido,269013.0,6,Automatico,12,Preto,12,5,Sim,0,8973,Usado,0.0
HYUNDAI,2010,Minivan,Sim,Diesel,84669.0,4,Automatico,6,Prata,4,1,Sim,2,1641,Usado,1.0
HYUNDAI,2015,SUV,Sim,diesel,155797.0,4,Automatico,14,Branco,4,1,Sim,6,6220,Usado,1.0
MERCEDES-BENZ,2002,Vagao de carga,Nao,Diesel,280000.0,4,Manual,23,Branco,2,4,Não,3,5569,Usado,0.0
TOYOTA,2011,Minivan,Sim,gasolina,347667.0,6,Automatico,11,Preto,12,2,Não,10,9036,Usado,0.0
TOYOTA,2013,SUV,Sim,Gasolina,59000.0,6,Automatico,25,Preto,0,1,Não,8,8036,Usado,1.0
OPEL,1998,Minivan,Nao,Gasolina,30000.0,4,Manual,2,Red,6,1,Não,0,3721,Usado,0.0
TOYOTA,2008,Sedan,Nao,Hibrido,180000.0,4,Automatico,2,Cinza,4,3,Não,9,3683,Usado,0.0
TOYOTA,2015,Sedan,Nao,Hibrido,88000.0,4,Automatico,29,Branco,10,4,Sim,2,9166,Usado,0.0
HYUNDAI,2013,Sedan,Sim,GASOLINA,0.0,4,Automatico,29,Preto,12,5,Sim,3,3460,Usado,0.0
HYUNDAI,2016,Universal,Sim,DIESEL,110969.0,4,Automatico,22,Preto,4,1,Sim,5,8179,Usado,1.0
CHEVROLET,2019,Sedan,Sim,gasolina,16042.0,4,Automatico,25,Preto,12,5,Não,6,1381,Semi-novo,0.0
MERCEDES-BENZ,2002,Sedan,Sim,Gás Natural,315000.0,8,Tiptronic,22,Azul,10,1,Não,4,8304,Usado,0.0
TOYOTA,2013,Hatchback,Sim,Hibrido,492642.0,4,Automatico,15,Prata,12,1,Sim,4,3445,Usado,0.0
HYUNDAI,2010,SUV,Sim,diesel,151591.0,4,Automatico,12,Branco,4,2,Sim,10,8174,Usado,1.0
HONDA,2012,Hatchback,Sim,Hibrido,321269.0,4,Automatico,31,Red,0,3,Não,6,4616,Usado,0.0
TOYOTA,2014,Sedan,Sim,Hibrido,102397.0,4,Automatico,2,Preto,12,1,Sim,4,6529,Usado,0.0
BMW,2005,SUV,Sim,Gasolina,1000.0,8,Tiptronic,17,Preto,12,2,Sim,0,2589,Usado,0.0
LEXUS,2015,Sedan,Sim,Hibrido,267264.0,4,Automatico,27,Cinza,12,3,Não,4,6917,Usado,0.0
CHEVROLET,2010,Cupê,Sim,Gasolina,217786.0,8,Automatico,11,Azul,12,3,Sim,8,4401,Usado,0.0
TOYOTA,2012,Hatchback,Nao,Gasol.,148000.0,4,Automatico,11,Preto,2,1,Não,5,3906,Usado,0.0
MERCEDES-BENZ,2006,Microonibus,Nao,Diesel,100000.0,4,Manual,19,Branco,4,2,Não,7,1777,Usado,1.0
MERCEDES-BENZ,2010,SUV,Sim,diesel,124000.0,6,Tiptronic,2,Cinza,10,3,Não,7,2583,Usado,1.0
MERCEDES-BENZ,2015,Minivan,Nao,DIESEL,330000.0,4,Manual,3,Preto,6,5,Não,9,4824,Usado,1.0
FORD,2014,Sedan,Nao,Hibrido,180800.0,4,Automatico,6,Branco,8,3,Não,2,7589,Usado,1.0
BMW,2015,Cupê,Sim,GASOLINA,73362.0,6,Automatico,20,Preto,12,1,Não,4,3255,Usado,0.0
OPEL,1999,Sedan,Nao,Gás Natural,0.0,4,Manual,32,Prata,6,4,Não,2,2889,Usado,0.0
LEXUS,2015,SUV,Sim,Hibrido,143619.0,6,Automatico,23,Preto,12,4,Não,7,4952,Usado,0.0
JEEP,2009,SUV,Sim,Gasolina,163866.0,4,Automatico,3,Red,4,5,Não,0,9463,Usado,0.0
TOYOTA,2017,Sedan,Sim,GASOLINA,20877.0,4,Automatico,21,Preto,12,1,Sim,8,1568,Usado,0.0
HYUNDAI,2014,Sedan,Sim,Gasolina,140885.0,4,Automatico,8,Prata,12,2,Sim,7,9164,Usado,0.0
SUBARU,2013,SUV,Sim,Hibrido,800.0,6,Automatico,27,Branco,6,3,Sim,1,6650,Usado,1.0
TOYOTA,2017,Universal,Sim,Hibrido,9027.0,4,Automatico,8,Azul,4,2,Não,8,3808,Usado,2.0
FORD,2017,Sedan,Sim,Gasolina,158344.0,4,Automatico,13,Prata,12,3,Não,9,7519,Usado,0.0
MERCEDES-BENZ,2013,SUV,Sim,DIESEL,94000.0,6,Automatico,22,Preto,6,5,Sim,1,4484,Usado,3.0
BMW,2003,Sedan,Sim,Gasolina,7777787.0,6,Manual,6,Prata,10,4,Não,3,4372,Usado,0.0
MITSUBISHI,1992,SUV,Nao,GASOLINA,123000.0,6,Manual,29,Prata,0,1,Sim,10,1675,Usado,0.0
MERCEDES-BENZ,1993,Cupê,Nao,gasolina,450000.0,4,Manual,20,Prata,2,3,Não,10,1397,Usado,0.0
TOYOTA,2008,Hatchback,Nao,Hibrido,142000.0,4,Variator,5,Bege,4,2,Sim,3,8907,Usado,0.0
MITSUBISHI,2004,SUV,Sim,Gás Natural,223123.0,4,Tiptronic,22,Branco,4,5,Sim,8,6304,Usado,0.0
NISSAN,2012,SUV,Nao,GASOLINA,100000.0,4,Automatico,21,Red,8,5,Sim,1,8669,Usado,0.0
VOLKSWAGEN,2011,Hatchback,Nao,Gasolina,81000.0,4,Tiptronic,8,Preto,2,3,Não,5,6868,Usado,0.0
TOYOTA,2011,SUV,Sim,Hibrido,326325.0,4,Automatico,18,Prata,12,1,Sim,2,7770,Usado,0.0
JEEP,2019,Sedan,Sim,Gasolina,61998.0,4,Automatico,4,Cinza,12,1,Não,5,2738,Semi-novo,0.0
OPEL,2001,Hatchback,Nao,GASOLINA,230000.0,4,Automatico,7,Azul,2,3,Sim,0,8518,Usado,0.0
HONDA,2017,Universal,Sim,Hibrido,3474.0,4,Automatico,13,Azul,4,5,Sim,3,1526,Usado,1.0
HONDA,2011,Hatchback,Sim,Hibrido,198891.0,4,Automatico,28,Cinza,0,3,Sim,1,4188,Usado,0.0
HYUNDAI,2012,Hatchback,Sim,DIESEL,60480.0,4,Automatico,5,Branco,4,3,Não,5,9835,Usado,0.0
FORD,2017,SUV,Sim,GASOLINA,66901.0,4,Automatico,18,Azul,4,5,Sim,6,1806,Usado,2.0
MITSUBISHI,1996,Minivan,Nao,GASOLINA,111000.0,4,Automatico,16,Verde,2,4,Não,0,7931,Usado,0.0
TOYOTA,2015,Hatchback,Sim,Gasolina,104000.0,4,Automatico,21,Cinza,12,3,Não,0,8600,Usado,0.0
VOLKSWAGEN,2014,Sedan,Sim,Gasolina,108000.0,4,Tiptronic,30,Preto,12,5,Sim,7,3758,Usado,1.0
PORSCHE,2013,Cupê,Sim,Gasolina,94010.0,6,Automatico,27,Preto,12,5,Sim,3,6910,Usado,0.0
VOLKSWAGEN,2013,Sedan,Sim,Gasolina,90000.0,5,Tiptronic,6,Prata,10,4,Sim,1,3238,Usado,0.0
VOLKSWAGEN,2013,Sedan,Sim,gasolina,80000.0,4,Tiptronic,29,Cinza,8,5,Sim,2,1126,Usado,0.0
SSANGYONG,2011,SUV,Sim,DIESEL,113368.0,4,Automatico,9,Branco,4,2,Não,5,1832,Usado,1.0
HYUNDAI,2014,Sedan,Nao,Gasolina,990000.0,4,Tiptronic,24,Prata,6,4,Sim,6,1921,Usado,0.0
TOYOTA,2018,SUV,Sim,Gasolina,20267.0,4,Automatico,14,Cinza,12,4,Sim,2,5382,Semi-novo,0.0
LEXUS,2012,Hatchback,Sim,Hibrido,108499.0,4,Automatico,32,Branco,12,2,Sim,10,1595,Usado,0.0
TOYOTA,2014,Sedan,Sim,Hibrido,115312.0,4,Automatico,5,Cinza,12,1,Não,4,1628,Usado,0.0
MERCEDES-BENZ,2017,SUV,Sim,Gasolina,95541.0,6,Automatico,2,Preto,0,4,Não,9,7857,Usado,1.0
CHEVROLET,2012,Sedan,Sim,Gasolina,131082.0,4,Automatico,11,Prata,4,2,Não,0,3424,Usado,1.0
SSANGYONG,2010,SUV,Sim,DIESEL,151949.0,4,Automatico,12,Preto,4,5,Sim,6,2874,Usado,1.0
LEXUS,2016,SUV,Sim,Hibrido,55000.0,6,Tiptronic,20,Preto,12,4,Sim,6,3378,Usado,3.0
HYUNDAI,2016,Sedan,Sim,GASOLINA,63687.0,4,Automatico,20,Cinza,4,4,Não,4,2646,Usado,1.0
HYUNDAI,2018,Sedan,Sim,gasolina,20388.0,4,Automatico,5,Branco,4,4,Sim,6,2475,Semi-novo,1.0
TOYOTA,2012,Hatchback,Nao,Hibrido,68000.0,4,Tiptronic,6,Prata,12,4,Sim,5,8607,Usado,1.0
TOYOTA,2013,Hatchback,Sim,Hibrido,197854.0,4,Automatico,2,Preto,12,1,Sim,8,9814,Usado,0.0
NISSAN,2015,SUV,Sim,Gasolina,88475.0,4,Automatico,23,Branco,0,1,Não,5,6406,Usado,0.0
VOLKSWAGEN,2015,Sedan,Sim,Gasolina,45605.0,4,Automatico,4,Branco,0,1,Não,3,3785,Usado,0.0
SSANGYONG,2010,SUV,Sim,Dies.,98164.0,4,Automatico,14,Branco,4,5,Sim,10,6986,Usado,0.0
TOYOTA,2012,Sedan,Sim,GASOLINA,166400.0,4,Tiptronic,27,Cinza,8,1,Não,7,7923,Usado,1.0
HONDA,2009,Hatchback,Nao,GASOLINA,138684.0,4,Variator,8,Prata,6,2,Não,8,5924,Usado,0.0
NISSAN,1998,Hatchback,Nao,Gasolina,157000.0,4,Automatico,4,Preto,2,4,Sim,8,6806,Usado,0.0
HONDA,2013,Hatchback,Sim,Hibrido,116581.0,4,Automatico,15,Prata,4,1,Sim,9,1110,Usado,0.0
HONDA,2011,Hatchback,Nao,Hibrido,150000.0,4,Automatico,14,Vermelho,10,3,Sim,9,3251,Usado,0.0
TOYOTA,2002,Hatchback,Nao,gasolina,111111.0,4,Automatico,24,Preto,2,2,Sim,7,1040,Usado,0.0
KIA,2016,Sedan,Sim,Gasolina,29112.0,4,Automatico,29,Branco,4,3,Não,0,4944,Usado,1.0
TOYOTA,2017,Sedan,Sim,Gasol.,109981.0,6,Automatico,14,Prata,12,4,Sim,4,6812,Usado,0.0
MINI,2014,SUV,Sim,Gasol.,51700.0,4,Tiptronic,11,Red,12,2,Não,7,3171,Usado,1.0
SSANGYONG,2015,SUV,Sim,diesel,61551.0,4,Automatico,12,Preto,4,5,Sim,3,6629,Usado,1.0
NISSAN,2005,Sedan,Nao,Gasolina,16302.0,3,Automatico,8,Branco,4,2,Não,8,2311,Usado,0.0
FIAT,2012,Sedan,Sim,GASOLINA,240350.0,4,Automatico,12,Branco,12,5,Não,3,2129,Usado,0.0
NISSAN,2006,SUV,Sim,Gasol.,188200.0,6,Automatico,19,Prata,12,3,Não,10,4866,Usado,0.0
TOYOTA,2013,Hatchback,Nao,Hibrido,63186.0,4,Variator,30,Branco,12,5,Sim,2,3074,Usado,1.0
OPEL,1998,Hatchback,Nao,Gasolina,200000.0,4,Manual,8,Azul,2,4,Sim,6,2177,Usado,0.0
DAEWOO,2010,Sedan,Sim,Gasolina,86382.0,4,Automatico,15,Prata,4,3,Não,4,1343,Usado,0.0
HYUNDAI,2014,Minivan,Sim,DIESEL,169109.0,4,Automatico,32,Amarelo,4,1,Não,6,1782,Usado,1.0
HONDA,2010,Hatchback,Nao,Gasol.,147857.0,4,Automatico,11,Azul,4,5,Não,1,6097,Usado,0.0
TOYOTA,1998,SUV,Nao,GASOLINA,220000.0,6,Automatico,22,Preto,4,5,Não,6,5322,Usado,0.0
HYUNDAI,2018,Sedan,Sim,gasolina,51106.0,4,Automatico,15,Branco,4,4,Sim,9,4168,Semi-novo,2.0
JAGUAR,2013,Sedan,Sim,Diesel,71201.0,4,Automatico,29,Branco,4,4,Não,4,5054,Usado,1.0
FORD,2010,Cupê,Nao,Gasolina,160000.0,6,Automatico,2,Preto,12,1,Sim,8,5825,Usado,1.0
HYUNDAI,2008,Minivan,Sim,Diesel,65625.0,4,Automatico,29,Prata,4,2,Não,8,4722,Usado,0.0
KIA,2019,Universal,Nao,Gasolina,4000.0,4,Automatico,11,Branco,5,2,Não,10,8937,Semi-novo,2.0
BMW,2009,Sedan,Sim,Gasolina,170000.0,6,Tiptronic,20,Preto,12,3,Sim,6,7751,Usado,1.0
HYUNDAI,2012,SUV,Sim,GASOLINA,177080.0,4,Automatico,25,Prata,0,1,Sim,10,4393,Usado,0.0
MERCEDES-BENZ,2020,SUV,Sim,gasolina,0.0,8,Tiptronic,20,Preto,12,3,Sim,6,9728,Semi-novo,3.0
SSANGYONG,2016,SUV,Sim,diesel,35398.0,4,Automatico,11,Azul,4,2,Não,9,6944,Usado,1.0
MERCEDES-BENZ,2012,Sedan,Sim,Gasolina,0.0,8,Automatico,1,Preto,12,4,Sim,7,2426,Usado,0.0
TOYOTA,2008,Hatchback,Sim,Hibrido,185471.0,4,Automatico,15,Prata,8,2,Sim,10,2669,Usado,0.0
TOYOTA,2013,Sedan,Sim,Gasolina,115123.0,4,Tiptronic,32,Preto,12,4,Não,0,7503,Usado,1.0
SSANGYONG,2007,SUV,Sim,diesel,74944.0,4,Automatico,11,Branco,4,4,Não,1,7001,Usado,0.0
MITSUBISHI,2018,SUV,Sim,Hibrido,59674.0,4,Automatico,19,Preto,12,4,Não,6,3633,Semi-novo,1.0
HYUNDAI,2019,Sedan,Sim,Gasolina,33693.0,4,Automatico,23,Prata,12,4,Não,7,4846,Semi-novo,1.0
LEXUS,2012,SUV,Sim,Hibrido,232357.0,6,Automatico,16,Preto,12,3,Não,7,7218,Usado,0.0
SKODA,2009,Sedan,Nao,Gasol.,157000.0,4,Manual,11,Branco,8,2,Não,3,8542,Usado,0.0
TOYOTA,2015,Hatchback,Sim,Hibrido,236898.0,4,Automatico,2,Branco,12,3,Não,3,9924,Usado,0.0
SUBARU,2015,SUV,Sim,GASOLINA,250005.0,4,Automatico,15,Preto,0,4,Sim,1,6193,Usado,0.0
TOYOTA,2012,Sedan,Nao,Hibrido,120000.0,4,Automatico,5,Vermelho,6,3,Não,10,7339,Usado,1.0
TOYOTA,2017,Sedan,Sim,gasolina,22989.0,4,Automatico,10,Prata,12,4,Sim,4,8865,Usado,0.0
TOYOTA,2008,SUV,Sim,Gasol.,244800.0,8,Tiptronic,4,Preto,9,2,Sim,5,7206,Usado,1.0
TOYOTA,2019,SUV,Sim,Gasol.,78424.0,4,Automatico,21,Red,12,2,Sim,2,8469,Semi-novo,0.0
MAZDA,2015,Hatchback,Nao,Gasol.,67825.0,4,Automatico,1,Prata,8,2,Sim,5,3986,Usado,0.0
NISSAN,2012,SUV,Nao,Gasolina,95000.0,4,Automatico,8,Branco,12,3,Sim,2,1601,Usado,1.0
TOYOTA,2010,Hatchback,Nao,Hibrido,124568.0,4,Variator,9,Branco,9,5,Não,6,1817,Usado,0.0
TOYOTA,2019,SUV,Sim,GASOLINA,10003.0,4,Automatico,25,Azul,12,5,Sim,9,5357,Semi-novo,0.0
TOYOTA,2004,Minivan,Nao,Gasol.,195000.0,4,Automatico,1,Preto,0,1,Sim,2,5859,Usado,0.0
TOYOTA,2013,Hatchback,Nao,Hibrido,281600.0,4,Variator,28,Azul,8,2,Sim,10,9780,Usado,0.0
HYUNDAI,2018,Sedan,Sim,Gasol.,36470.0,4,Automatico,9,Cinza,4,3,Sim,7,5555,Semi-novo,1.0
FORD,2009,SUV,Sim,Hibrido,196682.0,4,Automatico,24,Preto,0,3,Não,5,3661,Usado,0.0
HYUNDAI,2016,SUV,Sim,DIESEL,125230.0,4,Automatico,28,Preto,4,1,Não,10,8936,Usado,1.0
LAND ROVER,1996,SUV,Sim,Diesel,888888.0,4,Manual,7,Azul,0,1,Sim,0,4355,Usado,0.0
TOYOTA,2015,Sedan,Sim,Gasol.,133408.0,4,Automatico,29,Preto,12,3,Sim,1,8536,Usado,0.0
TOYOTA,2012,Hatchback,Sim,Gasolina,28000.0,4,Automatico,21,Prata,4,1,Não,5,5290,Usado,1.0
HYUNDAI,2013,Sedan,Sim,gasolina,232982.0,4,Automatico,29,Cinza,12,4,Sim,7,6685,Usado,0.0
TOYOTA,2015,SUV,Nao,Gasolina,60800.0,4,Tiptronic,21,Cinza,8,3,Sim,6,3747,Usado,1.0
TOYOTA,2016,SUV,Nao,Hibrido,30402.0,4,Variator,15,Azul,6,3,Não,4,6468,Usado,1.0
JEEP,2005,SUV,Sim,GASOLINA,185000.0,6,Tiptronic,7,Prata,6,3,Sim,0,7944,Usado,0.0
FORD,2011,SUV,Sim,Gasolina,100741.0,4,Automatico,26,Preto,4,1,Não,10,4971,Usado,2.0
FORD,2014,Sedan,Sim,Gasolina,182963.0,4,Automatico,22,Preto,12,3,Sim,0,1011,Usado,0.0
HYUNDAI,2011,SUV,Nao,GASOLINA,52000.0,4,Automatico,17,Preto,6,1,Não,0,3365,Usado,1.0
BMW,2015,SUV,Sim,Dies.,150000.0,6,Tiptronic,10,Preto,12,1,Não,2,3542,Usado,3.0
SSANGYONG,2010,SUV,Sim,Diesel,145221.0,4,Automatico,29,Preto,4,4,Não,8,4634,Usado,0.0
HONDA,2002,SUV,Nao,Gasol.,168000.0,4,Manual,28,Verde,4,4,Sim,1,7760,Usado,0.0
NISSAN,2008,Sedan,Nao,Gasol.,167000.0,4,Automatico,12,Branco,8,1,Sim,8,2000,Usado,0.0
HYUNDAI,2012,Sedan,Nao,Gasolina,108000.0,4,Automatico,14,Prata,8,4,Não,3,6250,Usado,0.0
TOYOTA,2008,Sedan,Sim,Hibrido,150000.0,4,Automatico,7,Preto,12,4,Não,5,3960,Usado,0.0
NISSAN,2003,SUV,Nao,Gás Natural,300000.0,6,Manual,24,Prata,2,2,Sim,3,8911,Usado,0.0
KIA,2016,SUV,Sim,DIESEL,222105.0,4,Tiptronic,22,Preto,8,5,Sim,5,8603,Usado,2.0
VOLKSWAGEN,2012,Sedan,Nao,Gasolina,66098.0,4,Tiptronic,21,Prata,12,3,Não,0,9662,Usado,0.0
FORD,2015,Sedan,Nao,GASOLINA,56199.0,4,Automatico,15,Red,12,5,Não,5,3129,Usado,0.0
TOYOTA,2013,Sedan,Sim,Hibrido,225510.0,4,Automatico,31,Branco,12,1,Não,7,7752,Usado,0.0
HYUNDAI,2011,Cupê,Sim,Gasolina,160000.0,4,Automatico,29,Preto,4,1,Não,0,4304,Usado,0.0
KIA,2010,Sedan,Sim,Gasol.,12000.0,3,Automatico,4,Branco,4,2,Não,3,3160,Usado,0.0
TOYOTA,2018,Sedan,Sim,Gasolina,17000.0,6,Automatico,32,Preto,12,3,Sim,9,5351,Semi-novo,2.0
TOYOTA,2013,Sedan,Sim,Hibrido,124912.0,4,Automatico,21,Branco,12,1,Não,6,9914,Usado,0.0
HYUNDAI,2015,Sedan,Sim,Gasolina,135378.0,4,Automatico,21,Branco,4,3,Não,3,3176,Usado,0.0
FORD,2003,SUV,Nao,Gasolina,0.0,6,Automatico,26,Cinza,0,3,Não,8,6295,Usado,0.0
MITSUBISHI,1996,Picape,Nao,Gasol.,60600.0,3,Manual,26,Branco,0,4,Não,10,8178,Usado,0.0
TOYOTA,2013,Hatchback,Nao,Hibrido,100000.0,4,Variator,9,Branco,6,2,Sim,6,4151,Usado,0.0
TOYOTA,2010,Sedan,Nao,Hibrido,165000.0,4,Automatico,1,Preto,12,2,Sim,6,8064,Usado,0.0
HYUNDAI,2017,Sedan,Sim,Gasolina,88400.0,4,Automatico,13,Branco,4,4,Sim,5,4698,Usado,1.0
HYUNDAI,2010,Sedan,Sim,gasolina,179307.0,4,Automatico,13,Prata,4,5,Sim,3,8261,Usado,0.0
NISSAN,2012,SUV,Sim,Gasol.,173576.0,4,Automatico,15,Red,0,4,Não,2,4198,Usado,0.0
VOLKSWAGEN,2011,Sedan,Sim,Gasol.,212501.0,5,Automatico,1,Cinza,12,4,Sim,2,8220,Usado,0.0
BMW,2016,Sedan,Sim,Gasol.,51930.0,4,Automatico,27,Preto,12,5,Não,10,8902,Usado,0.0
NISSAN,2013,Sedan,Nao,Gasolina,134400.0,4,Automatico,21,Vermelho,8,1,Sim,1,4576,Usado,0.0
HYUNDAI,2017,SUV,Sim,Gasolina,44844.0,4,Automatico,32,Preto,4,5,Não,0,2910,Usado,2.0
MERCEDES-BENZ,2011,Sedan,Sim,DIESEL,132630.0,6,Automatico,28,Prata,12,4,Sim,4,4796,Usado,0.0
HYUNDAI,2018,Sedan,Sim,Gasolina,40808.0,4,Automatico,15,Preto,4,5,Sim,1,9208,Semi-novo,2.0
MERCEDES-BENZ,2008,SUV,Sim,GASOLINA,134000.0,8,Tiptronic,1,Preto,12,1,Não,8,9454,Usado,1.0
MERCEDES-BENZ,2014,Sedan,Sim,GASOLINA,85000.0,4,Automatico,2,Prata,8,4,Não,4,7524,Usado,1.0
LINCOLN,2000,Limousine,Sim,Gasol.,100000.0,8,Automatico,21,Branco,8,5,Sim,2,9117,Usado,0.0
MERCEDES-BENZ,2014,Sedan,Sim,Dies.,146395.0,6,Automatico,17,Cinza,12,2,Não,3,9638,Usado,0.0
MITSUBISHI,2004,Universal,Nao,Gás Natural,150000.0,4,Automatico,21,Branco,4,5,Não,0,5055,Usado,0.0
TOYOTA,2016,Sedan,Sim,Hibrido,158000.0,4,Automatico,13,Cinza,12,3,Sim,4,1246,Usado,1.0
TOYOTA,2012,Sedan,Sim,gasolina,91000.0,4,Automatico,15,Preto,10,1,Não,9,4379,Usado,1.0
MITSUBISHI,2017,Sedan,Sim,Gasolina,49774.0,3,Automatico,13,Cinza,12,3,Sim,7,8548,Usado,0.0
OPEL,2003,Vagao de carga,Nao,Diesel,111111.0,4,Manual,10,Branco,2,3,Sim,7,3097,Usado,0.0
TOYOTA,2010,Hatchback,Sim,Hibrido,288891.0,4,Automatico,2,Cinza,12,5,Não,3,3201,Usado,0.0
MERCEDES-BENZ,2011,SUV,Sim,Dies.,186542.0,6,Automatico,15,Branco,12,1,Sim,9,2680,Usado,0.0
NISSAN,2017,Sedan,Sim,gasolina,33899.0,4,Automatico,25,Cinza,12,1,Sim,1,6607,Usado,0.0
LEXUS,2010,SUV,Sim,Hibrido,186005.0,6,Automatico,27,Prata,12,3,Sim,7,7022,Usado,0.0
GMC,2019,Sedan,Sim,GASOLINA,11325.0,8,Automatico,24,Branco,12,5,Não,5,6276,Semi-novo,1.0
MITSUBISHI,2011,SUV,Nao,Gasolina,141000.0,4,Tiptronic,8,Prata,16,1,Não,6,5776,Usado,0.0
HONDA,2019,Hatchback,Sim,gasolina,12000.0,4,Automatico,23,Preto,4,5,Sim,9,6460,Semi-novo,2.0
CHEVROLET,2012,SUV,Sim,diesel,258076.0,4,Automatico,32,Branco,4,5,Sim,6,2212,Usado,0.0
FORD,2009,Vagao de carga,Nao,Diesel,230000.0,6,Manual,7,Azul,0,4,Não,5,9429,Usado,0.0
FORD,2013,Sedan,Sim,Hibrido,339920.0,4,Automatico,28,Branco,0,3,Não,4,8554,Usado,0.0
TOYOTA,2014,Sedan,Sim,Hibrido,102397.0,4,Automatico,14,Preto,12,1,Sim,7,2705,Usado,0.0
HYUNDAI,2016,Sedan,Sim,Gasol.,33555.0,4,Automatico,25,Cinza,4,3,Não,0,6213,Usado,1.0
FORD,2012,Sedan,Sim,Hibrido,146758.0,4,Automatico,28,Preto,12,5,Não,2,2401,Usado,0.0
TOYOTA,2010,Hatchback,Sim,Hibrido,98768.0,4,Automatico,28,Branco,12,3,Sim,8,4701,Usado,0.0
HYUNDAI,2015,Sedan,Nao,GASOLINA,144000.0,4,Automatico,18,Cinza,0,1,Não,9,1736,Usado,0.0
TOYOTA,2013,Sedan,Nao,GASOLINA,22400.0,5,Tiptronic,32,Branco,8,1,Não,0,4154,Usado,1.0
HONDA,2012,Hatchback,Nao,Hibrido,147000.0,4,Automatico,13,Prata,8,1,Não,1,1383,Usado,0.0
MERCEDES-BENZ,2012,Sedan,Sim,Gasol.,105000.0,4,Automatico,23,Azul ceu,12,5,Não,0,2869,Usado,1.0
TOYOTA,2012,Sedan,Sim,Hibrido,83200.0,4,Automatico,15,Cinza,8,3,Não,1,7776,Usado,0.0
NISSAN,2013,Sedan,Sim,Gasol.,130877.0,6,Automatico,25,Branco,12,5,Não,3,5627,Usado,0.0
MERCEDES-BENZ,2014,Sedan,Sim,DIESEL,149486.0,6,Automatico,29,Prata,12,3,Sim,0,2328,Usado,0.0
SSANGYONG,2017,SUV,Sim,Gasol.,80425.0,4,Automatico,2,Branco,4,3,Sim,2,4856,Usado,1.0
TOYOTA,2010,SUV,Sim,Hibrido,408997.0,4,Automatico,31,Branco,12,4,Sim,6,3484,Usado,0.0
FORD,1998,Microonibus,Nao,DIESEL,1234.0,4,Manual,26,Branco,2,1,Sim,1,1559,Usado,0.0
MERCEDES-BENZ,2016,SUV,Sim,Gasolina,87091.0,4,Tiptronic,18,Cinza,10,2,Não,4,8338,Usado,2.0
LEXUS,2015,SUV,Sim,Gasol.,102907.0,8,Automatico,30,Preto,0,1,Não,4,3991,Usado,0.0
LEXUS,2017,SUV,Sim,Gasol.,69918.0,8,Automatico,16,Branco,0,1,Sim,5,3879,Usado,0.0
HYUNDAI,2016,SUV,Sim,Diesel,108782.0,4,Automatico,21,Prata,4,4,Não,2,9384,Usado,1.0
BMW,2004,Conversivel,Sim,GASOLINA,174000.0,6,Tiptronic,12,Prata,6,3,Não,3,8595,Usado,0.0
